Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Inspection of M/s Godavari Mega Aqua Food Park Pvt. Ltd.,Godavari,Andhra Pradesh by Shri Atul Saxena(Dir.)"	"30.01.2019"	"31.01.2019"	""	""	"Andhra Pradesh"
"Complete Act. of M/s Zoram Mega Food Park Pvt. Ltd., Kolasib,Mizoram"	"31.01.2019"	"01.02.2019"	""	""	""
"Insp. KINFRA & KSIDC,Kerala by Shri. Dr. J.P. Dongare(MO)"	"31.01.2019"	"01.02.2019"	""	""	"Kerala"
"Doordarshan Interview"	"01.02.2019 14:30"	"01.02.2019 15:30"	""	""	"Sirifort Auditorium"
"Meeting with PMAs and PMCs of  various MFP projects"	"08.02.2019 15:00"	"08.02.2019 16:00"	""	""	"PB"
"Inaug. of KINFRA,Pallakad,Kerala"	"07.02.2019"	"08.02.2019"	""	""	"Kerala"
"Inaug. of Sikaria Mega Food Park(P) Limited,West Tripura"	"20.02.2019"	"21.02.2019"	""	""	"Tripura"
"TC for CEFPPC"	"12.02.2019 11:00"	"12.02.2019 12:00"	""	""	"PB"
"TC for APC"	"11.02.2019 11:00"	"11.02.2019 12:00"	""	""	"PB"
"Video Conference with M/s MITS Mega Food Park Pvt. Ltd."	"29.01.2019 11:00"	"29.01.2019 23:30"	""	""	"PB"
"Prepration for Inaug. of KSIDC,Kerala"	"25.02.2019"	"26.02.2019"	""	""	""
"Video conference with M/s Indus Best Mega Food Park Pvt. Ltd."	"29.01.2019 11:30"	"29.01.2019 12:00"	""	""	"PB "
"SOM"	"11.02.2019 12:00"	"11.02.2019 13:00"	"FREQ=WEEKLY;UNTIL=20190225T063000Z;BYDAY=MO;WKST=MO"	""	"PB"
"VC with Himalayan Food Park Pvt. Ltd."	"31.01.2019 11:30"	"31.01.2019 12:00"	""	""	"PB"
"Review of TSIIDC for 2nd Installment Proposal"	"11.02.2019"	"12.02.2019"	""	""	"PB"
"Insp. of Indus Best Mega Food Park Pvt. Ltd.,Chhatisgarh  by Shri. Ramkesh Meena"	"05.02.2019"	"06.02.2019"	""	""	""
"2 Convo. NIFTEM"	"08.02.2019 13:00"	"08.02.2019 14:00"	"Invitation"	""	""
"Marriage Ceremony of the daughter of Shri S.K. Verma"	"18.01.2019 19:00"	"18.01.2019 21:00"	""	""	""
"Meeting with World Bank"	"29.01.2019 15:00"	"29.01.2019 16:00"	""	""	"PB"
"SOM"	"04.02.2019 12:00"	"04.02.2019 13:00"	"FREQ=WEEKLY;UNTIL=20190205T063000Z;BYDAY=MO"	""	"PB"
"SOM"	"04.02.2019 12:00"	"04.02.2019 13:00"	""	""	"PB"
"Meeting of JCEC with ITALY"	"25.02.2019"	"01.03.2019"	""	""	""
"17th session of 16th Lok Sabha"	"05.02.2019"	"06.02.2019"	""	""	""
"Meeting with PWC - PB"	"15.01.2019 15:00"	"15.01.2019 16:00"	""	""	"PB"
